what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1370426329499
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1370426329499
java.specification.name,sysinfo,,,"Java Platform API Specification",1370426329499
java.specification.vendor,sysinfo,,,"Oracle Corporation",1370426329499
java.specification.version,sysinfo,,,"1.7",1370426329499
java.vendor,sysinfo,,,"Oracle Corporation",1370426329499
java.version,sysinfo,,,"1.7.0_21",1370426329499
java.vm.info,sysinfo,,,"mixed mode",1370426329499
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1370426329499
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1370426329499
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1370426329499
java.vm.specification.version,sysinfo,,,"1.7",1370426329499
java.vm.vendor,sysinfo,,,"Oracle Corporation",1370426329499
java.vm.version,sysinfo,,,"23.21-b01",1370426329499
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1370426330565
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1370426330639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426332319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426360255
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1370426362781
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1370426362822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426372129
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426412716
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1370426412776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426414312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426588275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1370426592903
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1370426593012
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426595244
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426598987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426603060
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426603400
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1370426605646
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1370426622075
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1370426622735
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1370426636308
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1370426640022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1370426660695
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426666078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426944857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426946642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426948186
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1370426948624
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1370426949659
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1370426949679
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1370426949704
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1370426949783
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1370426949783
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1370426949784
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1370426949785
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1370426949854
stopped,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1370426949861
stopped,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1370426949863
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1370426949883
